Date,Rate
2016-02-19,0.694854
2016-02-20,0.694179
2016-02-21,0.699442
2016-02-22,0.706506
2016-02-23,0.713042
2016-02-24,0.717757
2016-02-25,0.716296
2016-02-26,0.720891
2016-02-27,0.72082
2016-02-28,0.721426
2016-03-01,0.716524
2016-03-02,0.710308
2016-03-03,0.705558
2016-03-04,0.70274
2016-03-05,0.702697
2016-03-06,0.703137
2016-03-07,0.701059
2016-03-08,0.703518
2016-03-09,0.703503
2016-03-10,0.700025
2016-03-11,0.695204
2016-03-12,0.698079
2016-03-13,0.695417
2016-03-14,0.699254
2016-03-15,0.706454
2016-03-16,0.70184
2016-03-17,0.690788
2016-03-18,0.690757
2016-03-19,0.690847
2016-03-20,0.691361
2016-03-21,0.695834
2016-03-22,0.703506
2016-03-23,0.708296
2016-03-24,0.706775
2016-03-25,0.707494
2016-03-26,0.707494
2016-03-27,0.70769
2016-03-28,0.7014
2016-04-01,0.702744
2016-04-02,0.702744
2016-04-03,0.70332
2016-04-04,0.701036
2016-04-05,0.706328
2016-04-06,0.707921
2016-04-07,0.711536
2016-04-08,0.707941
2016-04-09,0.707941
2016-04-10,0.707864
2016-04-11,0.702751
2016-04-12,0.701032
2016-04-13,0.704043
2016-04-14,0.706871
2016-04-15,0.704004
2016-04-16,0.704004
2016-04-17,0.705194
2016-04-18,0.700579
2016-04-19,0.694862
2016-04-20,0.697586
2016-04-21,0.698431
2016-04-22,0.694145
2016-04-23,0.694145
2016-04-24,0.692184
2016-04-25,0.690595
2016-04-26,0.686026
2016-04-27,0.687897
2016-04-28,0.684586
2016-05-01,0.685235
2016-05-02,0.681817
2016-05-03,0.687595
2016-05-04,0.689636
2016-05-05,0.69026
2016-05-06,0.693019
2016-05-07,0.693019
2016-05-08,0.69331
2016-05-09,0.693958
2016-05-10,0.692177
2016-05-11,0.692427
2016-05-12,0.692249
2016-05-13,0.696434
2016-05-14,0.696434
2016-05-15,0.69652
2016-05-16,0.694569
2016-05-17,0.692861
2016-05-18,0.687725
2016-05-19,0.687547
2016-05-20,0.689554
2016-05-21,0.689554
2016-05-22,0.689831
2016-05-23,0.690518
2016-05-24,0.683903
2016-05-25,0.680285
2016-05-26,0.681904
2016-05-27,0.683935
2016-05-28,0.683935
2016-06-01,0.693793
2016-06-02,0.693701
2016-06-03,0.688891
